UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
366711,1,3,1,1,3,3,1,3,3,"R",17349,"R",6383,"R",10966,"R",10699,"R",3947,"R",6752,"R",2245,"R",876,"R",1369,"R",2131,"R",811,"R",1320,"R",114,"R",65,"R",49,"R",2118,"R",94,"R",610,"R",27,"R",480,"R",570,"R",470,"R",570,"R",17,"R",22,"R",15,"R",22,"R",16,"R",22
367884,2,3,2,2,2,3,2,2,1,"R",214,"R",84,"R",130,"R",131,"R",52,"R",79,"R",72,"R",27,"R",45,"R",33,"R",10,"R",23,"R",39,"R",17,"R",22,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
368407,3,3,1,3,2,1,3,3,3,"R",19,"R",2,"R",17,"R",19,"R",2,"R",17,"R",18,"R",1,"R",17,"R",9,"R",0,"R",9,"R",9,"R",1,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
368452,2,3,1,2,2,1,2,2,3,"R",227,"R",94,"R",133,"R",114,"R",46,"R",68,"R",56,"R",24,"R",32,"R",56,"R",24,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
368647,1,3,1,2,1,1,3,3,1,"R",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
369668,3,3,1,3,3,3,3,3,1,"R",176,"R",117,"R",59,"R",158,"R",105,"R",53,"R",126,"R",84,"R",42,"R",122,"R",83,"R",39,"R",4,"R",1,"R",3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
373711,3,3,1,3,1,3,3,3,1,"R",46,"R",1,"R",45,"R",28,"R",0,"R",28,"R",20,"A",,"R",20,"R",15,"A",,"R",15,"R",5,"A",,"R",5,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
375966,3,3,1,3,1,3,3,3,1,"R",12,"R",2,"R",10,"R",11,"R",1,"R",10,"R",11,"R",1,"R",10,"R",2,"R",0,"R",2,"R",9,"R",1,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
376321,1,3,1,2,3,3,3,3,3,"R",458,"R",91,"R",367,"R",447,"R",90,"R",357,"R",320,"R",65,"R",255,"R",273,"R",50,"R",223,"R",47,"R",15,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
377218,3,3,1,3,3,3,3,3,1,"R",27,"R",27,"R",0,"R",22,"R",22,"A",,"R",19,"R",19,"A",,"R",19,"R",19,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
