UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
100654,05,"R",560,"R",230,"R",330,"R",2,"R",2,"R",499,"R",5,"R",3,"R",24,"R",10,"R",9,"R",6,"R",0,"R",429,"R",123,"R",8,"R",0
100654,07,"R",244,"R",68,"R",176,"R",2,"R",2,"R",199,"R",0,"R",0,"R",33,"R",0,"R",6,"R",2,"R",0,"R",46,"R",166,"R",32,"R",0
100654,09,"R",6,"R",0,"R",6,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"R",3,"Z",0
100663,02,"R",76,"R",43,"R",33,"R",0,"R",3,"R",11,"R",6,"R",0,"R",54,"R",2,"R",0,"R",0,"R",0,"R",52,"R",22,"R",2,"Z",0
100663,05,"R",2523,"R",997,"R",1526,"R",8,"R",157,"R",607,"R",123,"R",1,"R",1477,"R",87,"R",20,"R",43,"R",0,"R",1726,"R",688,"R",109,"R",0
100663,07,"R",2197,"R",752,"R",1445,"R",4,"R",95,"R",299,"R",64,"R",2,"R",1431,"R",60,"R",51,"R",191,"R",0,"R",344,"R",1519,"R",334,"Z",0
100663,09,"R",565,"R",232,"R",333,"R",3,"R",51,"R",48,"R",18,"R",0,"R",381,"R",17,"R",10,"R",37,"R",0,"R",3,"R",494,"R",68,"R",0
100663,10,"R",195,"R",58,"R",137,"R",0,"R",6,"R",48,"R",4,"R",1,"R",110,"R",6,"R",6,"R",14,"R",0,"R",14,"R",109,"R",72,"R",0
100690,03,"R",44,"R",9,"R",35,"R",1,"R",1,"R",34,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",23,"R",14,"Z",0
100690,05,"R",42,"R",19,"R",23,"Z",0,"Z",0,"R",21,"R",1,"Z",0,"R",20,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",15,"R",26,"Z",0
100690,07,"R",72,"R",29,"R",43,"Z",0,"R",1,"R",43,"R",2,"Z",0,"R",24,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",28,"R",44,"Z",0
100690,09,"R",14,"R",6,"R",8,"Z",0,"Z",0,"R",7,"Z",0,"R",1,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",10,"Z",0
100706,01,"R",12,"R",4,"R",8,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",8,"Z",0,"R",2,"R",1,"Z",0,"R",11,"R",1,"Z",0,"Z",0
100706,05,"R",1305,"R",703,"R",602,"R",12,"R",56,"R",123,"R",36,"R",2,"R",897,"R",22,"R",118,"R",39,"Z",0,"R",883,"R",367,"R",55,"Z",0
100706,07,"R",528,"R",253,"R",275,"R",5,"R",13,"R",36,"R",7,"Z",0,"R",335,"R",9,"R",34,"R",89,"Z",0,"R",113,"R",339,"R",73,"R",3
100706,09,"R",72,"R",28,"R",44,"R",1,"R",1,"R",11,"R",3,"R",0,"R",39,"R",0,"R",2,"R",15,"Z",0,"Z",0,"R",41,"R",31,"Z",0
100706,10,"R",40,"R",17,"R",23,"Z",0,"Z",0,"R",9,"R",3,"Z",0,"R",22,"Z",0,"R",6,"Z",0,"Z",0,"R",1,"R",22,"R",17,"Z",0
100724,05,"R",510,"R",182,"R",328,"R",0,"R",3,"R",470,"R",7,"R",1,"R",14,"R",3,"R",4,"R",8,"R",0,"R",404,"R",93,"R",13,"R",0
100724,07,"R",120,"R",32,"R",88,"R",0,"R",4,"R",95,"R",1,"R",0,"R",16,"R",0,"R",0,"R",4,"R",0,"R",32,"R",73,"R",15,"R",0
100724,09,"R",27,"R",12,"R",15,"R",0,"R",3,"R",10,"R",1,"R",0,"R",11,"R",0,"R",0,"R",2,"R",0,"R",0,"R",25,"R",2,"R",0
100724,10,"R",6,"R",1,"R",5,"R",0,"R",0,"R",5,"R",0,"R",0,"R",0,"Z",0,"R",1,"R",0,"R",0,"R",0,"R",3,"R",3,"R",0
100751,05,"R",6848,"R",2896,"R",3952,"R",23,"R",90,"R",635,"R",286,"R",2,"R",5444,"R",190,"R",21,"R",157,"R",3,"R",6078,"R",645,"R",122,"R",0
100751,07,"R",1742,"R",638,"R",1104,"R",5,"R",25,"R",239,"R",56,"R",2,"R",1281,"R",33,"R",12,"R",89,"R",4,"R",748,"R",767,"R",223,"R",0
100751,09,"R",416,"R",197,"R",219,"R",4,"R",5,"R",54,"R",7,"R",1,"R",276,"R",6,"R",8,"R",55,"R",0,"R",50,"R",286,"R",80,"R",0
100751,10,"R",20,"R",6,"R",14,"R",1,"R",1,"R",3,"R",0,"R",0,"R",15,"R",0,"R",0,"R",0,"R",0,"R",1,"R",14,"R",5,"R",0
100760,01,"R",45,"R",27,"R",18,"R",0,"R",0,"R",10,"R",1,"R",0,"R",34,"R",0,"R",0,"R",0,"R",0,"R",26,"R",13,"R",6,"R",0
100760,02,"R",83,"R",28,"R",55,"R",0,"R",0,"R",16,"R",1,"R",0,"R",66,"R",0,"R",0,"R",0,"R",0,"R",43,"R",30,"R",10,"R",0
100760,03,"R",210,"R",86,"R",124,"R",0,"R",2,"R",42,"R",6,"R",0,"R",160,"R",0,"R",0,"R",0,"R",0,"R",136,"R",53,"R",21,"R",0
100812,05,"R",678,"R",230,"R",448,"R",10,"R",6,"R",73,"R",22,"Z",0,"R",530,"R",10,"R",27,"Z",0,"Z",0,"R",200,"R",351,"R",127,"Z",0
100812,07,"R",63,"R",24,"R",39,"R",2,"Z",0,"R",16,"R",1,"Z",0,"R",41,"R",2,"R",1,"Z",0,"Z",0,"R",3,"R",23,"R",37,"Z",0
100830,01,"R",5,"R",0,"R",5,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",0,"R",3,"R",1,"R",1,"R",0
