UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
446048,1,3,1,2,2,3,5,1,3,"R",1559,"R",711,"R",848,"R",1431,"R",628,"R",803,"R",297,"R",134,"R",163,"R",297,"R",134,"R",163,"R",0,"R",0,"R",0,"R",164,"R",55,"R",138,"R",46,"R",518,"R",630,"R",500,"R",610,"R",21,"R",28,"R",20,"R",29,"R",19,"R",26
446233,1,1,1,2,1,3,2,1,3,"R",72,"R",48,"R",24,"R",55,"R",36,"R",19,"R",53,"R",36,"R",17,"R",48,"R",33,"R",15,"R",5,"R",3,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
446303,3,3,1,3,2,3,3,3,3,"R",8,"R",3,"R",5,"R",7,"R",3,"R",4,"R",2,"R",0,"R",2,"R",2,"A",,"R",2,"R",0,"A",,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
446385,1,3,1,3,5,1,3,1,3,"R",244,"R",144,"R",100,"R",188,"R",106,"R",82,"R",59,"R",29,"R",30,"R",59,"R",29,"R",30,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
446561,5,3,1,5,5,1,3,3,1,"R",1000,"R",300,"R",700,"R",350,"R",70,"R",280,"R",279,"R",57,"R",222,"R",279,"R",57,"R",222,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
447263,3,3,3,3,3,3,3,1,1,"R",205,"R",20,"R",185,"R",205,"R",20,"R",185,"R",95,"R",13,"R",82,"R",72,"R",8,"R",64,"R",23,"R",5,"R",18,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
447689,1,5,1,1,3,3,5,5,5,"R",5903,"R",2333,"R",3570,"R",5579,"R",2188,"R",3391,"R",2308,"R",979,"R",1329,"R",1865,"R",787,"R",1078,"R",443,"R",192,"R",251,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
447953,1,5,1,3,1,2,3,1,5,"R",95,"R",50,"R",45,"R",53,"R",22,"R",31,"R",40,"R",18,"R",22,"R",36,"R",16,"R",20,"R",4,"R",2,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
449384,3,3,1,3,3,1,3,1,3,"R",34,"R",18,"R",16,"R",17,"R",10,"R",7,"R",8,"R",6,"R",2,"R",8,"R",6,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
449506,1,3,1,3,1,3,3,3,1,"R",3,"R",2,"R",1,"R",3,"R",2,"R",1,"R",2,"R",1,"R",1,"R",2,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
449612,3,3,2,3,1,2,2,3,1,"R",53,"R",30,"R",23,"R",12,"R",6,"R",6,"R",12,"R",6,"R",6,"R",12,"R",6,"R",6,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
449658,3,3,2,3,1,1,3,3,3,"R",47,"R",47,"R",0,"R",33,"R",33,"A",,"R",27,"R",27,"A",,"R",27,"R",27,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
449764,1,3,1,3,1,1,5,5,5,"R",342,"R",155,"R",187,"R",246,"R",113,"R",133,"R",163,"R",77,"R",86,"R",79,"R",46,"R",33,"R",84,"R",31,"R",53,"R",144,"R",88,"R",19,"R",12,"R",300,"R",500,"R",200,"R",500,"R",12,"R",17,"R",10,"R",15,"R",10,"R",15
449834,5,3,3,3,1,5,2,3,3,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
449861,3,3,3,3,3,3,3,3,1,"R",241,"R",12,"R",229,"R",194,"R",10,"R",184,"R",57,"R",6,"R",51,"R",57,"R",6,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
449931,1,3,1,3,5,3,3,1,3,"R",77,"R",27,"R",50,"R",7,"R",2,"R",5,"R",2,"R",0,"R",2,"R",1,"A",,"R",1,"R",1,"A",,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
451149,5,5,1,5,5,5,3,3,3,"R",75,"R",5,"R",70,"R",75,"R",5,"R",70,"R",57,"R",4,"R",53,"R",57,"R",4,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
451158,5,5,1,5,5,3,3,3,3,"R",160,"R",10,"R",150,"R",160,"R",10,"R",150,"R",128,"R",8,"R",120,"R",128,"R",8,"R",120,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
