UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
100830,05,"R",724,"R",220,"R",504,"R",1,"R",12,"R",245,"R",10,"R",1,"R",405,"R",25,"R",3,"R",22,"R",0,"R",453,"R",235,"R",36,"R",0
100830,07,"R",202,"R",77,"R",125,"R",0,"R",4,"R",47,"R",3,"R",0,"R",97,"R",1,"R",14,"R",36,"R",0,"R",50,"R",128,"R",24,"R",0
100830,10,"R",33,"R",13,"R",20,"R",0,"R",0,"R",9,"R",1,"R",0,"R",20,"R",0,"R",2,"R",1,"R",0,"R",0,"R",18,"R",15,"R",0
100830,12,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0
100858,05,"R",5451,"R",2759,"R",2692,"R",21,"R",135,"R",302,"R",165,"R",7,"R",4425,"R",95,"R",21,"R",280,"Z",0,"R",4982,"R",442,"R",27,"Z",0
100858,07,"R",1279,"R",611,"R",668,"R",2,"R",33,"R",81,"R",48,"Z",0,"R",824,"R",21,"R",4,"R",266,"Z",0,"R",424,"R",746,"R",109,"Z",0
100858,09,"R",538,"R",219,"R",319,"R",1,"R",23,"R",36,"R",16,"R",1,"R",341,"R",2,"R",2,"R",116,"Z",0,"R",16,"R",475,"R",47,"Z",0
100858,10,"R",263,"R",153,"R",110,"R",2,"R",6,"R",29,"R",11,"R",1,"R",192,"R",2,"R",3,"R",17,"Z",0,"R",26,"R",148,"R",89,"Z",0
100858,12,"R",3,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0
100937,05,"R",241,"R",117,"R",124,"R",0,"R",4,"R",27,"R",6,"R",0,"R",197,"R",5,"R",0,"R",2,"R",0,"R",230,"R",8,"R",3,"R",0
101028,02,"R",47,"R",11,"R",36,"R",1,"R",1,"R",10,"R",1,"R",0,"R",32,"R",2,"R",0,"R",0,"R",0,"R",13,"R",26,"R",8,"R",0
101028,03,"R",241,"R",79,"R",162,"R",2,"R",3,"R",88,"R",13,"R",0,"R",123,"R",8,"R",4,"R",0,"R",0,"R",124,"R",82,"R",35,"R",0
101028,12,"R",94,"R",32,"R",62,"R",0,"R",0,"R",38,"R",8,"R",0,"R",45,"R",2,"R",1,"R",0,"R",2,"R",41,"R",28,"R",23,"R",0
101116,03,"R",32,"R",11,"R",21,"Z",0,"Z",0,"R",10,"Z",0,"Z",0,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",16,"R",3,"Z",0
101116,05,"R",39,"R",7,"R",32,"Z",0,"Z",0,"R",31,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",24,"R",10,"Z",0
101116,07,"R",21,"R",6,"R",15,"Z",0,"R",1,"R",18,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",15,"R",5,"Z",0
101116,09,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0
101143,02,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0
101143,03,"R",166,"R",67,"R",99,"R",4,"R",2,"R",32,"R",13,"R",0,"R",108,"R",7,"R",0,"R",0,"R",3,"R",106,"R",44,"R",13,"R",0
101143,12,"R",124,"R",97,"R",27,"R",0,"R",3,"R",34,"R",5,"R",0,"R",80,"R",2,"R",0,"Z",0,"R",0,"R",86,"R",32,"R",6,"R",0
101161,02,"R",143,"R",15,"R",128,"R",5,"R",1,"R",21,"R",5,"R",1,"R",110,"R",0,"R",0,"R",0,"R",0,"R",64,"R",69,"R",10,"R",0
101161,03,"R",792,"R",252,"R",540,"R",20,"R",9,"R",154,"R",23,"R",1,"R",559,"R",20,"R",5,"R",1,"R",1,"R",501,"R",220,"R",70,"R",0
101161,11,"R",7,"R",0,"R",7,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",7,"Z",0,"Z",0,"Z",0,"Z",0
101161,12,"R",140,"R",120,"R",20,"R",1,"R",2,"R",51,"R",4,"R",0,"R",70,"R",4,"R",8,"R",0,"R",4,"R",63,"R",41,"R",32,"R",0
101189,03,"R",18,"R",5,"R",13,"Z",0,"Z",0,"R",10,"Z",0,"Z",0,"R",8,"Z",0,"R",0,"Z",0,"R",0,"R",7,"R",6,"R",5,"Z",0
101189,05,"R",441,"R",175,"R",266,"R",3,"R",1,"R",203,"R",5,"R",3,"R",205,"R",6,"R",2,"R",13,"R",0,"R",138,"R",195,"R",108,"Z",0
101189,07,"R",330,"R",93,"R",237,"R",1,"R",2,"R",140,"R",8,"R",0,"R",171,"R",2,"R",6,"Z",0,"R",0,"R",36,"R",182,"R",112,"R",0
101189,09,"R",55,"R",28,"R",27,"R",1,"Z",0,"R",6,"R",4,"Z",0,"R",43,"Z",0,"R",0,"R",1,"R",0,"R",8,"R",40,"R",7,"R",0
101240,02,"R",221,"R",107,"R",114,"R",3,"R",0,"R",23,"R",3,"R",0,"R",188,"R",2,"R",0,"R",2,"R",0,"R",111,"R",87,"R",23,"R",0
101240,03,"R",689,"R",253,"R",436,"R",2,"R",8,"R",125,"R",29,"R",1,"R",489,"R",10,"R",4,"R",21,"R",0,"R",392,"R",227,"R",70,"R",0
101240,12,"R",182,"R",110,"R",72,"R",3,"R",0,"R",47,"R",3,"R",1,"R",119,"R",2,"R",1,"R",6,"R",0,"R",78,"R",78,"R",26,"R",0
101277,02,"R",40,"R",0,"R",40,"R",0,"R",0,"R",0,"R",11,"R",0,"R",29,"R",0,"R",0,"R",0,"R",0,"R",26,"R",12,"R",2,"R",0
101277,12,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0
101286,02,"R",181,"R",42,"R",139,"R",1,"R",2,"R",69,"R",8,"Z",0,"R",98,"R",3,"R",0,"R",0,"Z",0,"R",90,"R",71,"R",20,"Z",0
101286,03,"R",550,"R",167,"R",383,"R",2,"R",3,"R",148,"R",18,"Z",0,"R",366,"R",12,"R",1,"Z",0,"R",1,"R",320,"R",180,"R",49,"Z",0
101286,12,"R",544,"R",276,"R",268,"R",1,"R",7,"R",137,"R",21,"R",2,"R",362,"R",12,"R",1,"R",1,"R",5,"R",323,"R",145,"R",71,"R",0
101295,02,"R",348,"R",96,"R",252,"R",1,"R",7,"R",17,"R",22,"R",0,"R",288,"R",4,"R",7,"R",2,"R",0,"R",217,"R",105,"R",26,"R",0
101295,03,"R",975,"R",302,"R",673,"R",4,"R",17,"R",44,"R",55,"R",1,"R",816,"R",15,"R",16,"R",7,"R",1,"R",607,"R",318,"R",49,"R",0
101295,12,"R",731,"R",358,"R",373,"R",4,"R",18,"R",33,"R",48,"R",2,"R",604,"R",9,"R",10,"R",3,"R",3,"R",546,"R",142,"R",40,"R",0
101301,02,"R",108,"R",68,"R",40,"Z",0,"Z",0,"R",96,"Z",0,"Z",0,"R",8,"R",1,"R",3,"Z",0,"Z",0,"R",79,"R",23,"R",6,"Z",0
101301,03,"R",210,"R",45,"R",165,"Z",0,"R",3,"R",173,"R",1,"Z",0,"R",27,"R",4,"R",1,"R",1,"R",3,"R",123,"R",66,"R",18,"Z",0
101301,12,"R",5,"R",3,"R",2,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"R",1,"Z",0
101365,02,"R",83,"R",25,"R",58,"Z",0,"Z",0,"R",45,"R",1,"Z",0,"R",29,"R",5,"R",3,"Z",0,"Z",0,"R",12,"R",54,"R",17,"Z",0
101365,03,"R",128,"R",17,"R",111,"R",1,"Z",0,"R",94,"R",4,"Z",0,"R",26,"R",2,"R",1,"Z",0,"Z",0,"R",7,"R",83,"R",38,"Z",0
