UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
100654,1,2,1,2,3,2,1,1,3,"R",9638,"R",3210,"R",6428,"R",8661,"R",2793,"R",5868,"R",1529,"R",625,"R",904,"R",1525,"R",624,"R",901,"R",4,"R",1,"R",3,"R",506,"R",33,"R",1142,"R",75,"R",430,"R",520,"R",420,"R",510,"R",16,"R",19,"R",14,"R",20,"R",15,"R",18
100663,1,3,1,1,3,3,1,3,3,"R",7845,"R",2745,"R",5100,"R",7226,"R",2532,"R",4694,"R",2299,"R",826,"R",1473,"R",2245,"R",803,"R",1442,"R",54,"R",23,"R",31,"R",7,"R",1,"R",2253,"R",98,"R",490,"R",620,"R",490,"R",620,"R",21,"R",29,"R",22,"R",31,"R",19,"R",26
100706,1,2,1,3,3,2,1,1,3,"R",4543,"R",2557,"R",1986,"R",3674,"R",2133,"R",1541,"R",1435,"R",908,"R",527,"R",1428,"R",905,"R",523,"R",7,"R",3,"R",4,"R",8,"R",1,"R",1331,"R",93,"R",560,"R",700,"R",450,"R",680,"R",25,"R",31,"R",25,"R",34,"R",24,"R",30
100724,1,3,2,3,3,3,1,1,3,"R",7783,"R",2268,"R",5328,"R",7607,"R",2183,"R",5229,"R",1038,"R",369,"R",669,"R",1025,"R",361,"R",664,"R",13,"R",8,"R",5,"R",244,"R",24,"R",843,"R",81,"R",440,"R",520,"R",420,"R",510,"R",16,"R",20,"R",14,"R",20,"R",15,"R",18
100751,1,2,1,1,3,3,1,1,3,"R",37302,"R",14458,"R",22844,"R",22032,"R",8666,"R",13366,"R",6663,"R",2903,"R",3760,"R",6632,"R",2889,"R",3743,"R",31,"R",14,"R",17,"R",1669,"R",25,"R",4873,"R",73,"R",540,"R",640,"R",520,"R",640,"R",23,"R",31,"R",23,"R",34,"R",21,"R",29
100830,1,2,1,3,3,3,1,1,3,"R",5941,"R",2139,"R",3802,"R",5514,"R",2012,"R",3502,"R",757,"R",262,"R",495,"R",730,"R",251,"R",479,"R",27,"R",11,"R",16,"R",48,"R",6,"R",646,"R",85,"R",510,"R",570,"R",480,"R",570,"R",19,"R",23,"R",18,"R",24,"R",16,"R",22
100858,1,2,1,1,2,3,1,1,3,"R",20742,"R",8801,"R",11941,"R",15645,"R",6690,"R",8955,"R",4783,"R",2256,"R",2527,"R",4744,"R",2233,"R",2511,"R",39,"R",23,"R",16,"R",719,"R",15,"R",4029,"R",84,"R",580,"R",650,"R",570,"R",660,"R",25,"R",30,"R",25,"R",33,"R",23,"R",28
100937,1,5,5,3,5,3,5,5,3,"R",3636,"R",1414,"R",2222,"R",2060,"R",882,"R",1175,"R",328,"R",158,"R",170,"R",328,"R",158,"R",170,"A",,"A",,"A",,"R",46,"R",14,"R",257,"R",78,"R",520,"R",620,"R",520,"R",600,"R",23,"R",29,"R",22,"R",31,"R",20,"R",26
101189,1,2,1,3,2,3,1,2,3,"R",2671,"R",1161,"R",1510,"R",1396,"R",657,"R",739,"R",274,"R",155,"R",119,"R",253,"R",143,"R",110,"R",21,"R",12,"R",9,"R",24,"R",9,"R",222,"R",81,"R",490,"R",570,"R",530,"R",620,"R",18,"R",23,"R",16,"R",27,"R",16,"R",24
101365,5,3,1,3,3,3,2,2,1,"R",80,"R",20,"R",60,"R",76,"R",18,"R",58,"R",39,"R",12,"R",27,"R",16,"R",1,"R",15,"R",23,"R",11,"R",12,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,1,2,1,2,2,2,1,1,3,"R",2044,"R",1247,"R",797,"R",1194,"R",737,"R",457,"R",249,"R",154,"R",95,"R",248,"R",154,"R",94,"R",1,"R",0,"R",1,"R",44,"R",18,"R",231,"R",93,"R",500,"R",580,"R",498,"R",570,"R",19,"R",24,"R",18,"R",24,"R",17,"R",23
101480,1,3,1,3,3,3,1,1,3,"R",6033,"R",2325,"R",3708,"R",3276,"R",1328,"R",1948,"R",1073,"R",432,"R",641,"R",1060,"R",426,"R",634,"R",13,"R",6,"R",7,"R",2,"R",1,"R",953,"R",89,"R",440,"R",450,"R",470,"R",480,"R",19,"R",26,"R",20,"R",27,"R",17,"R",25
101541,1,2,1,2,2,3,1,1,3,"R",529,"R",0,"R",529,"R",255,"A",,"R",255,"R",68,"A",,"R",68,"R",67,"A",,"R",67,"R",1,"A",,"R",1,"R",6,"R",9,"R",62,"R",91,"R",550,"R",585,"R",480,"R",580,"R",17,"R",23,"R",16,"R",25,"R",16,"R",21
101587,2,3,1,2,3,3,1,1,3,"R",8870,"R",3166,"R",5704,"R",3518,"R",1225,"R",2293,"R",415,"R",168,"R",247,"R",413,"R",167,"R",246,"R",2,"R",1,"R",1,"R",21,"R",5,"R",394,"R",80,"R",440,"R",520,"R",420,"R",500,"R",18,"R",23,"R",18,"R",24,"R",16,"R",22
101648,1,3,1,1,3,3,1,1,3,"R",914,"R",617,"R",297,"R",516,"R",382,"R",134,"R",230,"R",173,"R",57,"R",230,"R",173,"R",57,"A",,"A",,"A",,"R",112,"R",48,"R",162,"R",69,"R",540,"R",640,"R",550,"R",640,"R",19,"R",26,"R",19,"R",26,"R",17,"R",26
101693,1,3,5,3,3,3,1,1,3,"R",1758,"R",573,"R",1165,"R",827,"R",265,"R",556,"R",253,"R",97,"R",156,"R",241,"R",90,"R",151,"R",12,"R",7,"R",5,"R",13,"R",5,"R",238,"R",95,"R",450,"R",540,"R",440,"R",547,"R",18,"R",25,"R",17,"R",25,"R",16,"R",23
101709,1,2,1,2,3,3,1,1,3,"R",3882,"R",1218,"R",2664,"R",1882,"R",611,"R",1241,"R",490,"R",163,"R",327,"R",488,"R",162,"R",326,"R",2,"R",1,"R",1,"R",2,"R",1,"R",451,"R",92,"A",,"A",,"A",,"A",,"R",20,"R",27,"R",21,"R",28,"R",17,"R",24
101879,1,2,1,2,3,3,1,1,3,"R",4450,"R",1621,"R",2829,"R",2863,"R",1037,"R",1826,"R",1005,"R",361,"R",644,"R",987,"R",351,"R",636,"R",18,"R",10,"R",8,"R",31,"R",3,"R",956,"R",95,"R",510,"R",610,"R",500,"R",580,"R",20,"R",25,"R",19,"R",27,"R",17,"R",24
101912,1,3,1,2,2,3,1,2,3,"R",1706,"R",634,"R",1072,"R",1124,"R",405,"R",719,"R",318,"R",139,"R",179,"R",316,"R",138,"R",178,"R",2,"R",1,"R",1,"R",146,"R",46,"R",212,"R",67,"R",410,"R",440,"R",532,"R",570,"R",16,"R",22,"R",15,"R",24,"R",15,"R",20
102049,1,5,1,2,1,5,1,1,5,"R",3884,"R",1326,"R",2558,"R",3188,"R",1044,"R",2144,"R",958,"R",314,"R",644,"R",958,"R",314,"R",644,"R",0,"R",0,"R",0,"R",324,"R",34,"R",826,"R",86,"R",552,"R",650,"R",520,"R",620,"R",23,"R",29,"R",24,"R",32,"R",21,"R",27
102094,1,3,1,3,3,3,1,1,3,"R",6555,"R",2582,"R",3973,"R",5199,"R",1979,"R",3220,"R",1910,"R",767,"R",1143,"R",1892,"R",759,"R",1133,"R",18,"R",8,"R",10,"R",167,"R",9,"R",1786,"R",94,"R",530,"R",630,"R",510,"R",610,"R",21,"R",27,"R",21,"R",29,"R",19,"R",26
102234,1,2,1,2,1,3,1,1,3,"R",8587,"R",2727,"R",5860,"R",5648,"R",1764,"R",3884,"R",309,"R",135,"R",174,"R",309,"R",135,"R",174,"A",,"A",,"A",,"R",40,"R",13,"R",217,"R",70,"R",505,"R",595,"R",510,"R",590,"R",20,"R",25,"R",20,"R",27,"R",18,"R",24
102270,1,2,1,3,3,3,2,1,3,"R",3265,"R",1115,"R",1932,"R",1260,"R",466,"R",745,"R",162,"R",85,"R",75,"R",160,"R",84,"R",74,"R",2,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102368,1,3,1,2,3,3,1,1,2,"R",7332,"R",2709,"R",4623,"R",6428,"R",2392,"R",4036,"R",1929,"R",719,"R",1210,"R",1692,"R",640,"R",1052,"R",237,"R",79,"R",158,"R",124,"R",6,"R",1481,"R",77,"R",490,"R",580,"R",470,"R",565,"R",18,"R",24,"R",18,"R",26,"R",17,"R",23
102377,1,2,1,2,2,2,1,1,3,"R",11833,"R",3547,"R",8286,"R",6132,"R",1714,"R",4418,"R",562,"R",178,"R",384,"R",538,"R",174,"R",364,"R",24,"R",4,"R",20,"R",3,"R",0,"R",365,"R",65,"P",440,"P",540,"P",420,"P",520,"R",17,"R",27,"R",16,"R",30,"R",16,"R",30
102553,5,5,1,2,3,3,2,1,5,"R",3745,"R",1637,"R",2108,"R",3039,"R",1326,"R",1713,"R",1606,"R",727,"R",879,"R",1150,"R",537,"R",613,"R",456,"R",190,"R",266,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102614,1,3,1,3,3,3,1,1,3,"R",1683,"R",726,"R",957,"R",1281,"R",537,"R",744,"R",746,"R",335,"R",411,"R",584,"R",282,"R",302,"R",162,"R",53,"R",109,"R",289,"R",39,"R",330,"R",44,"R",530,"R",640,"R",520,"R",630,"R",18,"R",25,"R",17,"R",25,"R",18,"R",25
102632,1,3,1,2,3,2,2,1,3,"R",499,"R",204,"R",295,"R",316,"R",137,"R",179,"R",219,"R",104,"R",115,"R",164,"R",83,"R",81,"R",55,"R",21,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102669,1,3,1,2,3,3,2,1,3,"R",419,"R",125,"R",294,"R",353,"R",89,"R",263,"R",50,"R",11,"R",39,"R",44,"R",10,"R",34,"R",6,"R",1,"R",5,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102845,3,3,3,3,3,3,3,3,1,"R",638,"R",448,"R",190,"R",638,"R",448,"R",190,"R",600,"R",438,"R",162,"R",600,"R",438,"R",162,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103893,3,3,1,3,3,3,3,3,1,"R",143,"R",18,"R",125,"R",128,"R",15,"R",113,"R",93,"R",11,"R",82,"R",78,"R",8,"R",70,"R",15,"R",3,"R",12,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103927,3,3,1,3,3,3,3,3,1,"R",87,"R",11,"R",76,"R",76,"R",10,"R",66,"R",57,"R",8,"R",49,"R",47,"R",6,"R",41,"R",10,"R",2,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
104151,2,2,1,2,3,3,1,1,2,"R",26869,"R",14256,"R",12613,"R",22779,"R",11826,"R",10953,"R",8861,"R",4742,"R",4119,"R",8809,"R",4711,"R",4098,"R",52,"R",31,"R",21,"R",5277,"R",60,"R",5134,"R",58,"R",570,"R",670,"R",560,"R",690,"R",22,"R",29,"R",21,"R",29,"R",22,"R",28
104179,1,3,1,2,3,2,5,5,3,"R",39941,"R",17715,"R",22223,"R",33717,"R",14786,"R",18928,"R",7750,"R",3386,"R",4361,"R",6011,"R",2748,"R",3260,"R",1739,"R",638,"R",1101,"R",4076,"R",53,"R",4153,"R",54,"R",540,"R",650,"R",530,"R",660,"R",21,"R",28,"R",20,"R",27,"R",20,"R",27
104586,5,5,1,1,1,3,5,1,3,"R",2859,"R",2084,"R",775,"R",1922,"R",1403,"R",519,"R",609,"R",442,"R",167,"R",609,"R",442,"R",167,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
104717,1,3,1,3,3,3,2,1,3,"R",31958,"R",9641,"R",18557,"R",23392,"R",7899,"R",14969,"R",4029,"R",1479,"R",2550,"R",2930,"R",1181,"R",1749,"R",1099,"R",298,"R",801,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
105330,1,3,1,3,3,3,2,1,3,"R",36831,"R",13398,"R",23433,"R",30428,"R",10763,"R",19665,"R",5869,"R",2201,"R",3668,"R",5047,"R",1762,"R",3285,"R",822,"R",439,"R",383,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
105589,1,3,1,2,1,3,5,1,3,"R",248,"R",76,"R",172,"R",236,"R",70,"R",166,"R",48,"R",19,"R",29,"R",48,"R",19,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
105899,1,3,1,3,1,3,1,1,3,"R",404,"R",230,"R",174,"R",228,"R",130,"R",98,"R",158,"R",74,"R",84,"R",153,"R",73,"R",80,"R",5,"R",1,"R",4,"R",77,"R",49,"R",92,"R",58,"R",460,"R",560,"R",470,"R",565,"R",17,"R",22,"R",16,"R",21,"R",16,"R",22
106245,1,3,1,2,3,3,1,1,3,"R",2593,"R",988,"R",1605,"R",2057,"R",798,"R",1259,"R",575,"R",253,"R",322,"R",535,"R",234,"R",301,"R",40,"R",19,"R",21,"R",22,"R",4,"R",509,"R",89,"R",480,"R",600,"R",470,"R",590,"R",18,"R",25,"R",19,"R",26,"R",17,"R",24
106342,1,3,3,2,3,3,1,3,3,"R",1741,"R",1055,"R",686,"R",868,"R",524,"R",344,"R",215,"R",130,"R",85,"R",215,"R",130,"R",85,"A",,"A",,"A",,"R",23,"R",22,"R",192,"R",89,"R",520,"R",608,"R",520,"R",580,"R",21,"R",28,"R",21,"R",30,"R",21,"R",26
106397,1,5,1,5,3,3,1,5,3,"R",18732,"R",7811,"R",10921,"R",14512,"R",5958,"R",8554,"R",5008,"R",2218,"R",2790,"R",4977,"R",2208,"R",2769,"R",31,"R",10,"R",21,"R",1296,"R",26,"R",4506,"R",90,"R",560,"R",650,"R",540,"R",640,"R",23,"R",29,"R",23,"R",31,"R",22,"R",28
106412,1,2,1,2,3,3,1,1,3,"R",5508,"R",2098,"R",3410,"R",2443,"R",877,"R",1566,"R",568,"R",263,"R",305,"R",563,"R",258,"R",305,"R",5,"R",5,"Z",0,"R",92,"R",16,"R",476,"R",84,"R",450,"R",530,"R",440,"R",510,"R",16,"R",20,"R",15,"R",21,"R",16,"R",20
106458,1,2,1,2,3,3,1,1,3,"R",5253,"R",2189,"R",3064,"R",4056,"R",1664,"R",2392,"R",1565,"R",670,"R",895,"R",1525,"R",650,"R",875,"R",40,"R",20,"R",20,"R",27,"R",2,"R",1483,"R",95,"R",510,"R",588,"R",520,"R",608,"R",21,"R",27,"R",22,"R",28,"R",20,"R",26
106467,1,2,1,2,3,3,2,1,3,"R",5122,"R",2107,"R",3015,"R",4622,"R",1879,"R",2743,"R",1722,"R",804,"R",918,"R",1633,"R",777,"R",856,"R",89,"R",27,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
106546,1,3,1,3,1,1,1,1,3,"R",6,"R",1,"R",5,"R",4,"R",1,"R",3,"R",3,"R",0,"R",3,"R",3,"A",,"R",3,"A",,"A",,"A",,"R",0,"R",0,"R",3,"R",100,"A",,"A",,"A",,"A",,"R",18,"R",20,"R",15,"R",19,"R",16,"R",17
106704,1,3,3,2,3,3,1,1,3,"R",5541,"R",1944,"R",3597,"R",5048,"R",1735,"R",3313,"R",2033,"R",745,"R",1288,"R",2023,"R",742,"R",1281,"R",10,"R",3,"R",7,"R",66,"R",3,"R",1931,"R",95,"R",480,"R",580,"R",490,"R",590,"R",21,"R",27,"R",21,"R",29,"R",19,"R",25
106713,1,1,1,2,3,3,1,1,3,"R",433,"R",243,"R",190,"R",263,"R",148,"R",115,"R",128,"R",75,"R",53,"R",127,"R",75,"R",52,"R",1,"R",0,"R",1,"R",23,"R",18,"R",107,"R",84,"R",460,"R",530,"R",420,"R",500,"R",16,"R",22,"R",15,"R",22,"R",16,"R",22
107044,2,2,1,2,1,3,1,1,3,"R",1927,"R",861,"R",1066,"R",1438,"R",655,"R",783,"R",857,"R",394,"R",463,"R",856,"R",393,"R",463,"R",1,"R",1,"R",0,"R",229,"R",27,"R",749,"R",87,"R",540,"R",660,"R",520,"R",640,"R",22,"R",29,"R",22,"R",31,"R",21,"R",27
107071,1,1,1,3,3,3,1,1,3,"R",2856,"R",1113,"R",1743,"R",2586,"R",1000,"R",1586,"R",853,"R",384,"R",469,"R",842,"R",377,"R",465,"R",11,"R",7,"R",4,"R",53,"R",6,"R",800,"R",94,"R",488,"R",570,"R",490,"R",560,"R",19,"R",25,"R",19,"R",25,"R",18,"R",24
