UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
100830,05,"R",652,"R",223,"R",429,"R",3,"R",22,"R",189,"R",4,"Z",0,"R",382,"R",8,"R",13,"R",31,"Z",0,"R",376,"R",229,"R",47,"Z",0
100830,07,"R",232,"R",77,"R",155,"Z",0,"R",3,"R",42,"Z",0,"Z",0,"R",73,"R",1,"R",83,"R",30,"Z",0,"R",34,"R",148,"R",50,"Z",0
100830,10,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
100858,01,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
100858,05,"R",4311,"R",2085,"R",2226,"R",22,"R",91,"R",262,"R",131,"R",0,"R",3647,"R",33,"R",41,"R",84,"R",0,"R",3942,"R",346,"R",23,"Z",0
100858,07,"R",1215,"R",597,"R",618,"R",11,"R",27,"R",96,"R",31,"R",0,"R",815,"R",17,"R",6,"R",212,"R",0,"R",396,"R",672,"R",147,"Z",0
100858,09,"R",567,"R",217,"R",350,"R",5,"R",23,"R",38,"R",10,"R",1,"R",360,"R",10,"R",3,"R",117,"R",0,"R",19,"R",494,"R",54,"Z",0
100858,10,"R",176,"R",87,"R",89,"R",0,"R",3,"R",19,"R",9,"R",1,"R",128,"R",2,"R",2,"R",12,"R",0,"R",21,"R",96,"R",59,"Z",0
100937,05,"R",266,"R",139,"R",127,"R",3,"R",5,"R",28,"R",7,"R",0,"R",219,"R",2,"R",2,"Z",0,"R",0,"R",248,"R",16,"R",2,"R",0
101028,01,"R",35,"R",15,"R",20,"Z",0,"Z",0,"R",15,"Z",0,"Z",0,"R",18,"R",2,"Z",0,"Z",0,"R",5,"R",16,"R",9,"R",5,"R",0
101028,02,"R",19,"R",12,"R",7,"Z",0,"Z",0,"R",4,"Z",0,"R",2,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",12,"R",3,"Z",0
101028,03,"R",194,"R",66,"R",128,"R",1,"R",1,"R",66,"R",9,"R",2,"R",110,"R",5,"R",0,"R",0,"R",0,"R",100,"R",73,"R",21,"R",0
101073,03,"R",37,"R",21,"R",16,"Z",0,"Z",0,"R",35,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",0,"R",20,"R",11,"R",4,"R",2
101073,05,"R",36,"R",12,"R",24,"Z",0,"Z",0,"R",30,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",3,"R",0,"R",10,"R",11,"R",3,"R",12
101116,03,"R",33,"R",9,"R",24,"R",0,"R",1,"R",13,"R",1,"R",0,"R",17,"R",0,"R",1,"R",0,"R",0,"R",10,"R",18,"R",5,"R",0
101116,05,"R",75,"R",19,"R",56,"R",0,"R",2,"R",42,"R",1,"R",0,"R",28,"R",0,"R",2,"R",0,"R",0,"R",6,"R",54,"R",15,"R",0
101116,07,"R",73,"R",9,"R",64,"R",2,"R",2,"R",39,"R",1,"R",0,"R",29,"R",0,"R",0,"R",0,"R",0,"R",1,"R",49,"R",23,"R",0
101116,09,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0
101143,01,"R",48,"R",33,"R",15,"R",0,"R",1,"R",12,"R",1,"R",1,"R",32,"R",1,"R",0,"R",0,"R",1,"R",22,"R",19,"R",6,"R",0
