UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
161235,2,2,2,2,2,2,1,2,3,"R",572,"R",202,"R",370,"R",556,"R",196,"R",360,"R",135,"R",46,"R",89,"R",129,"R",44,"R",85,"R",6,"R",2,"R",4,"R",103,"R",77,"R",6,"R",4,"R",450,"R",560,"R",450,"R",530,"R",17,"R",22,"R",17,"R",22,"R",18,"R",21
161253,2,2,1,1,1,3,1,1,3,"R",13231,"R",6267,"R",6964,"R",12207,"R",5771,"R",6436,"R",2299,"R",1229,"R",1070,"R",2270,"R",1214,"R",1056,"R",29,"R",15,"R",14,"R",2123,"R",92,"R",343,"R",15,"R",530,"R",630,"R",520,"R",620,"R",22,"R",27,"R",21,"R",27,"R",20,"R",27
161299,1,2,1,1,1,3,1,1,3,"R",760,"R",650,"R",110,"R",605,"R",516,"R",89,"R",244,"R",214,"R",30,"R",244,"R",214,"R",30,"A",,"A",,"A",,"R",218,"R",89,"R",31,"R",13,"R",490,"R",590,"R",500,"R",590,"R",18,"R",24,"R",16,"R",23,"R",19,"R",24
161341,1,2,1,2,1,3,2,1,3,"R",1424,"R",469,"R",955,"R",1359,"R",435,"R",924,"R",176,"R",71,"R",105,"R",167,"R",70,"R",97,"R",9,"R",1,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
161457,1,3,1,3,2,3,1,1,3,"R",5087,"R",1631,"R",3456,"R",4107,"R",1290,"R",2817,"R",651,"R",225,"R",426,"R",651,"R",225,"R",426,"R",0,"R",0,"R",0,"R",572,"R",93,"R",124,"R",19,"R",520,"R",610,"R",510,"R",600,"R",21,"R",26,"R",20,"R",26,"R",20,"R",26
161509,1,2,1,2,1,1,2,1,3,"R",744,"R",179,"R",565,"R",504,"R",115,"R",389,"R",121,"R",37,"R",84,"R",119,"R",36,"R",83,"R",2,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
161518,1,2,1,2,1,3,2,1,3,"R",1327,"R",474,"R",853,"R",1063,"R",382,"R",681,"R",267,"R",98,"R",169,"R",267,"R",98,"R",169,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
161554,3,2,1,2,1,3,1,1,3,"R",4339,"R",1797,"R",2542,"R",3622,"R",1452,"R",2170,"R",923,"R",383,"R",540,"R",888,"R",362,"R",526,"R",35,"R",21,"R",14,"R",851,"R",92,"R",77,"R",8,"R",490,"R",590,"R",460,"R",570,"R",19,"R",25,"R",18,"R",25,"R",19,"R",25
161572,1,2,1,2,5,3,2,1,3,"R",915,"R",373,"R",542,"R",812,"R",323,"R",489,"R",175,"R",86,"R",89,"R",175,"R",86,"R",89,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
161873,1,3,1,2,3,3,1,2,3,"R",426,"R",171,"R",255,"R",345,"R",141,"R",204,"R",129,"R",64,"R",65,"R",107,"R",46,"R",61,"R",22,"R",18,"R",4,"R",87,"R",67,"R",12,"R",9,"R",450,"R",580,"R",440,"R",530,"R",16,"R",22,"R",17,"R",21,"R",16,"R",20
