UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
169442,01,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0
169442,05,"R",265,"R",141,"R",124,"R",0,"R",12,"R",22,"R",9,"R",0,"R",161,"R",14,"R",26,"R",21,"R",0,"R",176,"R",81,"R",8,"R",0
169442,07,"R",21,"R",7,"R",14,"R",0,"R",1,"R",0,"R",0,"R",0,"R",3,"R",0,"R",0,"R",17,"R",0,"R",1,"R",19,"R",1,"R",0
169479,02,"R",26,"R",5,"R",21,"R",1,"R",2,"R",8,"R",0,"R",0,"R",10,"R",1,"R",4,"R",0,"R",0,"R",3,"R",18,"R",5,"R",0
169479,03,"R",217,"R",59,"R",158,"R",1,"R",2,"R",25,"R",6,"R",0,"R",142,"R",11,"R",26,"R",4,"R",0,"R",81,"R",94,"R",42,"R",0
169479,05,"R",1001,"R",446,"R",555,"R",2,"R",21,"R",69,"R",22,"R",1,"R",771,"R",17,"R",58,"R",40,"R",0,"R",394,"R",473,"R",134,"R",0
169479,07,"R",561,"R",237,"R",324,"R",0,"R",47,"R",89,"R",40,"R",0,"R",315,"R",8,"R",29,"R",33,"R",0,"R",31,"R",383,"R",147,"R",0
169479,10,"R",67,"R",24,"R",43,"R",0,"R",4,"R",15,"R",2,"R",0,"R",34,"R",3,"R",6,"R",3,"R",0,"R",1,"R",37,"R",29,"R",0
169503,01,"R",50,"R",1,"R",49,"R",0,"R",0,"R",39,"R",0,"R",0,"R",9,"R",1,"R",1,"R",0,"R",0,"R",23,"R",22,"R",5,"R",0
169503,02,"R",92,"R",3,"R",89,"R",0,"R",1,"R",33,"R",6,"R",0,"R",49,"R",2,"R",1,"R",0,"R",0,"R",61,"R",23,"R",8,"R",0
169521,01,"R",120,"R",33,"R",87,"R",0,"R",0,"R",11,"R",12,"R",0,"R",94,"R",2,"R",1,"R",0,"R",0,"R",48,"R",44,"R",28,"R",0
169521,02,"R",98,"R",48,"R",50,"R",0,"R",3,"R",14,"R",4,"R",0,"R",76,"R",1,"R",0,"R",0,"R",0,"R",38,"R",41,"R",19,"R",0
169521,03,"R",971,"R",385,"R",586,"R",6,"R",4,"R",65,"R",54,"R",1,"R",805,"R",16,"R",17,"R",3,"R",0,"R",419,"R",418,"R",134,"R",0
169576,02,"R",41,"R",4,"R",37,"R",1,"R",1,"R",29,"R",1,"Z",0,"R",8,"R",1,"Z",0,"Z",0,"R",0,"R",4,"R",30,"R",7,"R",0
169628,07,"R",32,"R",14,"R",18,"R",0,"R",1,"R",0,"R",0,"R",0,"R",12,"R",1,"R",1,"R",17,"R",0,"R",4,"R",19,"R",9,"R",0
169628,09,"R",255,"R",124,"R",131,"R",1,"R",5,"R",21,"R",12,"R",1,"R",168,"R",13,"R",17,"R",17,"R",0,"R",43,"R",206,"R",6,"R",0
169655,01,"R",84,"R",74,"R",10,"Z",0,"R",1,"R",15,"R",16,"Z",0,"R",43,"R",8,"R",1,"Z",0,"R",0,"R",43,"R",33,"R",8,"R",0
169655,02,"R",262,"R",247,"R",15,"Z",0,"R",3,"R",50,"R",35,"Z",0,"R",157,"R",8,"R",9,"Z",0,"Z",0,"R",124,"R",113,"R",25,"Z",0
169655,03,"R",109,"R",103,"R",6,"Z",0,"Z",0,"R",12,"R",9,"Z",0,"R",84,"R",1,"R",3,"Z",0,"Z",0,"R",64,"R",39,"R",6,"Z",0
169716,01,"R",34,"R",13,"R",21,"R",0,"R",6,"R",2,"R",3,"R",0,"R",15,"R",1,"R",3,"R",4,"R",5,"R",28,"R",1,"R",0,"R",0
169716,05,"R",697,"R",248,"R",449,"R",3,"R",36,"R",62,"R",32,"R",0,"R",457,"R",15,"R",19,"R",73,"R",0,"R",484,"R",160,"R",53,"R",0
169716,07,"R",452,"R",214,"R",238,"R",2,"R",19,"R",82,"R",5,"R",0,"R",231,"R",13,"R",13,"R",87,"R",0,"R",109,"R",260,"R",83,"Z",0
169716,09,"R",331,"R",161,"R",170,"R",1,"R",37,"R",18,"R",17,"R",0,"R",116,"R",6,"R",14,"R",122,"R",0,"R",27,"R",294,"R",10,"R",0
169716,10,"R",60,"R",26,"R",34,"R",0,"R",3,"R",10,"R",2,"R",0,"R",31,"R",2,"R",4,"R",8,"R",0,"R",1,"R",49,"R",10,"R",0
169734,02,"R",267,"R",26,"R",241,"R",1,"R",7,"R",174,"R",2,"R",0,"R",69,"R",13,"R",1,"R",0,"Z",0,"R",77,"R",147,"R",43,"Z",0
169761,01,"R",12,"R",0,"R",12,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"R",6,"R",1,"Z",0,"Z",0,"Z",0,"R",6,"R",5,"R",1,"Z",0
169761,02,"R",75,"R",3,"R",72,"R",2,"R",0,"R",23,"R",9,"R",0,"R",40,"R",1,"Z",0,"Z",0,"Z",0,"R",28,"R",35,"R",12,"Z",0
169798,05,"R",3393,"R",1322,"R",2071,"R",4,"R",99,"R",472,"R",133,"R",2,"R",2415,"R",120,"R",61,"R",87,"R",0,"R",2031,"R",1153,"R",209,"R",0
169798,07,"R",1144,"R",378,"R",766,"R",4,"R",51,"R",127,"R",42,"R",0,"R",740,"R",26,"R",25,"R",129,"R",0,"R",187,"R",762,"R",195,"R",0
169798,09,"R",46,"R",17,"R",29,"R",0,"R",2,"R",3,"R",2,"R",0,"R",33,"R",2,"R",2,"R",2,"R",0,"R",0,"R",20,"R",26,"R",0
169798,10,"R",144,"R",43,"R",101,"R",2,"R",5,"R",34,"R",3,"R",0,"R",90,"R",2,"R",2,"R",6,"R",0,"R",13,"R",86,"R",45,"R",0
169813,01,"R",7,"R",0,"R",7,"R",0,"R",0,"R",4,"R",0,"R",0,"R",3,"R",0,"R",0,"R",0,"R",0,"R",2,"R",4,"R",1,"Z",0
169813,02,"R",16,"R",0,"R",16,"R",0,"R",0,"R",14,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",10,"R",6,"R",0,"R",0
169910,01,"R",332,"R",185,"R",147,"R",3,"R",4,"R",11,"R",19,"R",0,"R",274,"R",5,"R",2,"R",14,"R",0,"R",166,"R",126,"R",40,"R",0
169910,03,"R",830,"R",447,"R",383,"R",3,"R",12,"R",50,"R",34,"R",0,"R",675,"R",39,"R",6,"R",11,"R",0,"R",682,"R",131,"R",17,"R",0
169910,05,"R",2563,"R",1202,"R",1361,"R",12,"R",39,"R",134,"R",105,"R",2,"R",2111,"R",71,"R",23,"R",66,"R",0,"R",1381,"R",985,"R",197,"R",0
169910,07,"R",160,"R",55,"R",105,"R",2,"R",3,"R",7,"R",9,"R",1,"R",114,"R",5,"R",7,"R",12,"R",0,"R",10,"R",112,"R",38,"R",0
169910,09,"R",179,"R",79,"R",100,"R",0,"R",1,"R",8,"R",4,"R",0,"R",93,"R",0,"R",67,"R",6,"R",0,"R",12,"R",146,"R",21,"R",0
169910,10,"R",41,"R",14,"R",27,"R",0,"R",2,"R",2,"R",0,"R",0,"R",32,"R",0,"R",0,"R",5,"R",0,"R",6,"R",28,"R",7,"R",0
169947,02,"R",18,"R",15,"R",3,"R",0,"R",0,"R",14,"R",1,"R",0,"R",3,"R",0,"R",0,"R",0,"R",0,"R",6,"R",9,"R",3,"R",0
169974,02,"R",43,"R",14,"R",29,"Z",0,"R",1,"R",1,"R",8,"R",0,"R",30,"R",1,"R",2,"Z",0,"R",0,"R",22,"R",17,"R",4,"Z",0
169974,03,"R",105,"R",28,"R",77,"R",1,"R",1,"R",3,"R",11,"R",1,"R",88,"Z",0,"Z",0,"Z",0,"R",2,"R",71,"R",24,"R",8,"Z",0
169983,05,"R",339,"R",274,"R",65,"R",2,"R",13,"R",11,"R",10,"R",0,"R",271,"R",10,"R",15,"R",7,"R",0,"R",270,"R",66,"R",3,"R",0
169983,07,"R",158,"R",128,"R",30,"R",0,"R",3,"R",8,"R",3,"R",0,"R",97,"R",2,"R",4,"R",41,"R",0,"R",9,"R",115,"R",34,"R",0
169992,01,"R",13,"R",9,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"Z",0,"Z",0,"Z",0,"R",0,"R",5,"R",3,"R",5,"R",0
169992,02,"R",62,"R",26,"R",36,"R",0,"R",0,"R",1,"R",1,"R",0,"R",58,"R",1,"R",1,"R",0,"R",0,"R",32,"R",21,"R",9,"R",0
169992,03,"R",164,"R",78,"R",86,"R",2,"R",1,"R",1,"R",3,"R",0,"R",149,"R",3,"R",5,"R",0,"R",0,"R",109,"R",41,"R",14,"R",0
